iter	RMSE
0	28.33820149
1	27.20024332
2	26.12368721
3	25.08775172
4	24.10191835
5	23.17634495
6	22.27318898
7	21.41615916
8	20.59704924
9	19.86362611
10	19.1227518
11	18.34071451
12	17.63969233
13	17.07000094
14	16.42974829
15	15.85540103
16	15.27088068
17	14.72619555
18	14.17330862
19	13.69480532
20	13.24878955
21	12.81526178
22	12.40438281
23	11.98460123
24	11.60279304
25	11.20915608
26	10.82464387
27	10.45424061
28	10.11977715
29	9.766072462
30	9.463945628
31	9.153732187
32	8.865481752
33	8.619530923
34	8.382427391
35	8.09183956
36	7.840803277
37	7.612379749
38	7.388502974
39	7.170132004
40	6.998093033
41	6.816756248
42	6.609791581
43	6.425738315
44	6.248242288
45	6.08549702
46	5.919816131
47	5.753240319
48	5.63670018
49	5.483988457
50	5.34076718
51	5.20675286
52	5.096546483
53	4.989630979
54	4.85930428
55	4.75109875
56	4.651547949
57	4.548832025
58	4.457961061
59	4.354161612
60	4.275473858
61	4.196712186
62	4.102642656
63	4.021865047
64	3.945778092
65	3.87281141
66	3.809321997
67	3.736890892
68	3.659797205
69	3.583637932
70	3.528086068
71	3.461804651
72	3.410331218
73	3.347136819
74	3.295295725
75	3.240002613
76	3.188332275
77	3.142785517
78	3.093018471
79	3.06045633
80	3.00511896
81	2.965046161
82	2.931942918
83	2.894899971
84	2.859043116
85	2.821966686
86	2.788039411
87	2.759762721
88	2.730226813
89	2.699918626
90	2.670777724
91	2.636169126
92	2.603444284
93	2.575247012
94	2.547330098
95	2.52348612
96	2.496163909
97	2.47532424
98	2.449359052
99	2.414325929
100	2.394021858
101	2.366260995
102	2.344050175
103	2.322471135
104	2.304048388
105	2.2851334
106	2.26600703
107	2.245273446
108	2.218053868
109	2.197317929
110	2.185689741
111	2.165151157
112	2.153350809
113	2.142430521
114	2.121528434
115	2.107475575
116	2.078127077
117	2.051530481
118	2.030254687
119	2.014825112
120	1.996417449
121	1.986568401
122	1.970597771
123	1.954545909
124	1.942505143
125	1.935030514
126	1.917918682
127	1.899154146
128	1.88541743
129	1.871827915
130	1.859446586
131	1.846927982
132	1.83093849
133	1.81570794
134	1.809013074
135	1.795917005
136	1.783354308
137	1.767876868
138	1.757192379
139	1.743134264
140	1.735643629
141	1.725017626
142	1.714772222
143	1.707508582
144	1.693889333
145	1.684321851
146	1.677618592
147	1.664173053
148	1.65136563
149	1.641724244
150	1.631728549
151	1.624873263
152	1.612738053
153	1.599509999
154	1.591613185
155	1.578954412
156	1.56721855
157	1.555501761
158	1.546449469
159	1.535914412
160	1.522565518
161	1.512299738
162	1.501060894
163	1.49473819
164	1.485778575
165	1.476855651
166	1.468665757
167	1.458009619
168	1.450531277
169	1.442943497
170	1.436066705
171	1.427478974
172	1.419110449
173	1.409658974
174	1.403208671
175	1.393736796
176	1.386415617
177	1.376582655
178	1.368909806
179	1.362256471
180	1.354279185
181	1.34627542
182	1.340921035
183	1.334538311
184	1.325759001
185	1.317555573
186	1.311468888
187	1.306205126
188	1.300018238
189	1.294110892
190	1.286278914
191	1.279861496
192	1.271571221
193	1.26388284
194	1.260584044
195	1.253107029
196	1.246455693
197	1.241028803
198	1.233168485
199	1.227985245
