iter	Passed	Remaining
0	151	30158
1	161	15980
2	170	11169
3	181	8883
4	189	7400
5	198	6426
6	208	5737
7	216	5194
8	226	4796
9	234	4452
10	244	4194
11	252	3953
12	261	3763
13	270	3588
14	280	3457
15	289	3325
16	297	3201
17	306	3102
18	315	3001
19	324	2917
20	332	2836
21	341	2765
22	350	2696
23	364	2672
24	373	2616
25	382	2558
26	392	2515
27	400	2461
28	410	2418
29	418	2371
30	427	2331
31	436	2290
32	444	2251
33	454	2217
34	463	2183
35	472	2153
36	481	2119
37	491	2096
38	503	2079
39	511	2047
40	521	2022
41	529	1993
42	539	1967
43	546	1939
44	556	1917
45	564	1891
46	574	1869
47	584	1849
48	593	1829
49	603	1809
50	611	1786
51	620	1766
52	629	1745
53	641	1734
54	650	1714
55	658	1692
56	667	1674
57	675	1654
58	685	1637
59	693	1618
60	704	1605
61	712	1585
62	722	1570
63	731	1553
64	739	1536
65	749	1521
66	758	1505
67	767	1490
68	778	1478
69	787	1462
70	796	1446
71	806	1433
72	815	1419
73	823	1402
74	833	1388
75	841	1373
76	850	1359
77	859	1344
78	868	1329
79	876	1314
80	885	1301
81	893	1286
82	903	1273
83	916	1265
84	924	1250
85	934	1238
86	942	1223
87	951	1211
88	959	1196
89	968	1183
90	977	1171
91	986	1157
92	995	1145
93	1004	1132
94	1014	1121
95	1023	1108
96	1031	1095
97	1042	1085
98	1058	1080
99	1072	1072
100	1080	1059
101	1089	1047
102	1097	1034
103	1108	1023
104	1116	1010
105	1126	998
106	1134	985
107	1143	974
108	1151	961
109	1160	949
110	1169	937
111	1177	925
112	1186	913
113	1194	901
114	1208	892
115	1216	880
116	1225	869
117	1233	857
118	1242	845
119	1250	833
120	1259	822
121	1268	810
122	1276	799
123	1285	788
124	1293	776
125	1302	765
126	1310	753
127	1321	743
128	1329	731
129	1344	724
130	1356	714
131	1376	709
132	1394	702
133	1420	699
134	1438	692
135	1456	685
136	1471	676
137	1492	670
138	1516	665
139	1530	655
140	1547	647
141	1556	635
142	1565	624
143	1573	612
144	1583	600
145	1591	588
146	1600	577
147	1608	565
148	1619	554
149	1627	542
150	1641	532
151	1651	521
152	1659	509
153	1670	499
154	1679	487
155	1688	476
156	1697	464
157	1705	453
158	1714	442
159	1723	430
160	1732	419
161	1740	408
162	1750	397
163	1760	386
164	1769	375
165	1780	364
166	1789	353
167	1798	342
168	1806	331
169	1815	320
170	1823	309
171	1833	298
172	1841	287
173	1851	276
174	1861	265
175	1869	254
176	1878	244
177	1886	233
178	1896	222
179	1904	211
180	1917	201
181	1926	190
182	1935	179
183	1946	169
184	1954	158
185	1965	147
186	1973	137
187	1982	126
188	1991	115
189	1999	105
190	2009	94
191	2017	84
192	2027	73
193	2036	62
194	2045	52
195	2056	41
196	2066	31
197	2075	20
198	2083	10
199	2092	0
