Date,Hour,Day,Month,DayOfWeek,Season,PM2_5,PM10,NO,NO2,SO2,CO,O3,NH3,Benzene,Toluene,Xylene,Temperature,Humidity,Wind_Speed,Wind_Direction,Pressure,Rainfall,Visibility,AQI
2020-01-01 00:00:00.000000,2,1,1,2,0,46.9,70.4,11.1,32.6,5.9,1.06,53.0,39.9,2.56,6.53,1.69,23.2,44.0,3.0,218.7,1020.9,0.2,11.7,78.2
2020-01-01 04:22:58.217821,18,1,1,2,0,87.0,99.6,49.9,82.0,5.6,1.91,53.0,9.7,5.31,15.12,5.42,24.6,29.0,7.9,308.8,1019.9,0.2,8.4,190.0
2020-01-01 08:45:56.435643,15,1,1,2,0,100.1,180.8,68.6,74.8,3.4,3.22,60.8,37.6,2.83,6.91,2.83,23.0,35.6,1.9,183.1,1028.4,1.2,9.2,233.7
2020-01-01 13:08:54.653465,10,1,1,2,0,91.0,178.8,70.6,68.4,0.0,1.03,17.7,17.4,0.86,2.27,0.89,18.1,51.0,3.4,44.8,1024.5,0.1,8.6,203.3
2020-01-01 17:31:52.871287,10,1,1,2,0,92.7,139.7,39.9,57.9,7.2,4.27,27.8,8.0,2.6,7.23,3.28,16.9,51.1,5.6,166.9,1023.5,0.2,8.3,209.0
2020-01-01 21:54:51.089108,20,1,1,2,0,70.5,124.6,54.0,52.5,1.4,2.82,45.0,7.1,2.82,7.5,4.2,22.6,34.1,2.2,59.9,1025.2,0.2,9.2,135.0
2020-01-02 02:17:49.306930,2,2,1,3,0,58.9,120.8,15.0,29.8,6.3,1.95,58.2,0.0,2.39,7.16,2.45,19.6,46.4,4.2,96.3,1024.0,0.0,7.9,113.9
2020-01-02 06:40:47.524752,16,2,1,3,0,96.3,122.5,48.7,73.0,48.2,1.9,60.3,41.6,0.61,1.48,0.64,21.6,36.7,2.1,212.3,1016.1,0.0,9.1,221.0
2020-01-02 11:03:45.742574,4,2,1,3,0,63.5,112.3,31.3,36.3,11.6,1.06,47.3,20.0,1.51,2.29,1.88,15.7,50.1,3.3,200.9,1022.8,0.1,8.8,111.7
2020-01-02 15:26:43.960396,2,2,1,3,0,49.4,51.5,19.5,30.8,17.9,1.11,59.7,0.0,2.88,5.16,4.12,22.5,49.8,3.5,342.1,1024.4,0.4,9.4,82.3
2020-01-02 19:49:42.178217,12,2,1,3,0,105.9,197.9,70.8,57.1,11.3,2.18,35.7,10.3,4.88,12.36,7.25,18.2,44.9,3.1,242.1,1026.6,0.3,8.1,253.0
