iter	RMSE
0	28.35553511
1	27.31157301
2	26.22548438
3	25.16882633
4	24.25919768
5	23.38818904
6	22.58836126
7	21.77191549
8	21.03976125
9	20.300404
10	19.5598253
11	18.83475389
12	18.15628396
13	17.54871094
14	16.95164848
15	16.36998213
16	15.76512698
17	15.24823146
18	14.73698199
19	14.26515121
20	13.73843937
21	13.21788818
22	12.74129791
23	12.30303483
24	11.90150005
25	11.49449339
26	11.12264004
27	10.77427653
28	10.43200945
29	10.0844124
30	9.737567335
31	9.473396446
32	9.160156646
33	8.908062689
34	8.626771628
35	8.362939087
36	8.068885981
37	7.81200421
38	7.576405593
39	7.352809927
40	7.127047266
41	6.921048516
42	6.714398053
43	6.543061181
44	6.369655989
45	6.191703347
46	6.019372844
47	5.854365327
48	5.703073167
49	5.555583007
50	5.418670893
51	5.292267294
52	5.178949376
53	5.041093875
54	4.906958594
55	4.772068677
56	4.68527396
57	4.588414598
58	4.505765421
59	4.420123115
60	4.344077336
61	4.265310923
62	4.171510855
63	4.102312273
64	4.03023129
65	3.973171224
66	3.900145283
67	3.827859471
68	3.75919986
69	3.693542246
70	3.637314349
71	3.587505478
72	3.526444624
73	3.472369005
74	3.427844201
75	3.386450315
76	3.335732912
77	3.292121077
78	3.2450262
79	3.205710191
80	3.161977135
81	3.124032221
82	3.089122125
83	3.046803939
84	3.014049666
85	2.986498067
86	2.955249869
87	2.923436966
88	2.894742498
89	2.870433607
90	2.843851693
91	2.809121228
92	2.777831077
93	2.74071815
94	2.717150663
95	2.685405599
96	2.667096924
97	2.644423793
98	2.612407204
99	2.584118626
100	2.575229538
101	2.54419026
102	2.518900443
103	2.495630326
104	2.471853086
105	2.445956649
106	2.422864201
107	2.404652886
108	2.383535757
109	2.361135554
110	2.332029018
111	2.308756293
112	2.288829989
113	2.272709131
114	2.25037573
115	2.236057503
116	2.225065844
117	2.205650568
118	2.191272514
119	2.175820075
120	2.153749417
121	2.1365523
122	2.127811935
123	2.108894091
124	2.102313995
125	2.088670718
126	2.074785388
127	2.06471924
128	2.048784954
129	2.03496267
130	2.017516017
131	2.008097554
132	1.99913204
133	1.984682185
134	1.965884888
135	1.953606673
136	1.941192654
137	1.92525074
138	1.913795773
139	1.901678535
140	1.889227156
141	1.875871101
142	1.864391928
143	1.850295113
144	1.839653556
145	1.830379375
146	1.820064779
147	1.805414285
148	1.795260355
149	1.786747102
150	1.773331221
151	1.765099892
152	1.754144731
153	1.7444654
154	1.732256445
155	1.721642476
156	1.713752786
157	1.704498868
158	1.693753772
159	1.685661957
160	1.673153331
161	1.663643691
162	1.650000627
163	1.643229144
164	1.637152105
165	1.628003191
166	1.615040976
167	1.606984367
168	1.598244439
169	1.589147488
170	1.578910606
171	1.569654644
172	1.559645862
173	1.550831871
174	1.541772708
175	1.534802892
176	1.527619746
177	1.517493256
178	1.511943517
179	1.501346496
180	1.491555369
181	1.48244982
182	1.476810432
183	1.46969181
184	1.46304287
185	1.457222821
186	1.448050399
187	1.43789702
188	1.431229779
189	1.425052519
190	1.42023178
191	1.412271273
192	1.404190247
193	1.398963723
194	1.391247714
195	1.382389697
196	1.377357146
197	1.373683723
198	1.367520282
199	1.359989021
