iter	Passed	Remaining
0	185	36859
1	196	19482
2	208	13687
3	218	10707
4	227	8871
5	237	7684
6	249	6882
7	259	6225
8	269	5727
9	279	5311
10	288	4962
11	297	4660
12	307	4421
13	317	4221
14	327	4033
15	336	3866
16	344	3712
17	354	3581
18	367	3500
19	378	3410
20	388	3308
21	396	3210
22	416	3202
23	425	3121
24	435	3045
25	444	2971
26	454	2914
27	464	2854
28	473	2792
29	484	2744
30	493	2690
31	504	2647
32	513	2600
33	524	2559
34	537	2532
35	558	2544
36	576	2538
37	591	2520
38	612	2530
39	640	2560
40	651	2527
41	661	2489
42	670	2448
43	682	2418
44	693	2390
45	702	2352
46	715	2329
47	725	2296
48	740	2280
49	753	2259
50	765	2235
51	781	2224
52	791	2196
53	800	2165
54	809	2134
55	818	2105
56	829	2081
57	838	2053
58	848	2027
59	860	2008
60	871	1984
61	880	1959
62	889	1934
63	898	1909
64	907	1885
65	918	1864
66	927	1842
67	936	1818
68	945	1795
69	955	1774
70	966	1756
71	976	1735
72	984	1713
73	996	1696
74	1009	1682
75	1018	1662
76	1027	1641
77	1037	1623
78	1046	1603
79	1058	1587
80	1067	1568
81	1076	1549
82	1085	1530
83	1094	1511
84	1105	1496
85	1116	1480
86	1126	1463
87	1137	1447
88	1152	1437
89	1161	1420
90	1172	1404
91	1181	1386
92	1191	1370
93	1201	1354
94	1212	1339
95	1222	1324
96	1234	1310
97	1242	1293
98	1252	1278
99	1262	1262
100	1273	1248
101	1287	1236
102	1296	1220
103	1306	1205
104	1317	1192
105	1327	1177
106	1337	1162
107	1346	1147
108	1357	1133
109	1368	1119
110	1378	1105
111	1391	1093
112	1401	1078
113	1410	1063
114	1425	1053
115	1436	1040
116	1446	1026
117	1455	1011
118	1466	998
119	1477	984
120	1488	972
121	1499	958
122	1508	944
123	1519	931
124	1529	917
125	1538	903
126	1550	891
127	1567	881
128	1579	869
129	1588	855
130	1598	842
131	1607	828
132	1618	815
133	1628	801
134	1639	789
135	1649	776
136	1659	763
137	1668	749
138	1678	736
139	1690	724
140	1702	712
141	1712	699
142	1724	687
143	1738	676
144	1751	664
145	1765	652
146	1777	640
147	1789	628
148	1798	615
149	1808	602
150	1819	590
151	1830	577
152	1840	565
153	1856	554
154	1865	541
155	1876	529
156	1884	516
157	1897	504
158	1907	491
159	1916	479
160	1926	466
161	1935	454
162	1946	441
163	1956	429
164	1965	416
165	1974	404
166	1989	393
167	2000	380
168	2009	368
169	2018	356
170	2028	343
171	2039	332
172	2048	319
173	2058	307
174	2067	295
175	2076	283
176	2087	271
177	2096	259
178	2106	247
179	2115	235
180	2128	223
181	2143	212
182	2157	200
183	2167	188
184	2176	176
185	2188	164
186	2198	152
187	2207	140
188	2218	129
189	2229	117
190	2237	105
191	2249	93
192	2259	81
193	2270	70
194	2279	58
195	2288	46
196	2299	35
197	2309	23
198	2318	11
199	2327	0
